topLeft
B,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2
B,B2,1,P,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,RR,RR,RCR,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,RU,1,1,1,1,1,1,1,1,1
topMiddle
B,B2,1,1,1,1,RU,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,RU,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,RU,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,RU,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,RU,1,1,1,1,1,1,1,1,1
B,B2,1,1,RL,RL,RCL,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,R,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
topRight
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,R,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,R,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2
middleLeft
B1,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,R,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,RU,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,RU,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,RU,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,RU,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,B1,B,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
middleMiddle
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,RR,RR,RR,RCR,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,RU,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,RU,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,RU,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,RU,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,R,1
1,1,1,B1,B,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
middleRight
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,B1,B,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,R,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,B1,B,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B1,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B
bottomLeft
B,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,B,B2,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,R,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
bottomMiddle
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,R,1,B,B2
1,1,B,B2,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,B,B2,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
bottomRight
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,RR,RR,RR,RCR,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,RU,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,RU,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,RU,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,RU,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B,B2
B,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2
