topLeft
B,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,P,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,RR,RR,RR,RR,RR,RR,RCR,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,RU,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,RU,1,1,1
B,B2,1,1,1,1,1,1,1,R,1,1,RU,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,RU,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,R,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,R,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
topMiddle
B,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,R,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,RR,RR,RR,RR,RR,RR,RCR,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,RU,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,RU,1,1,1
1,1,1,RR,RR,RR,RR,RR,RR,RR,RR,1,RU,1,1,1
1,1,1,1,1,1,1,1,1,1,RU,1,RU,1,1,1
1,1,1,1,1,1,1,1,1,1,RU,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,RU,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,R,1,1,1,1,1,R,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
topRight
B,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,R,1,B2,B
1,1,1,RU,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,RU,1,1,1,R,1,R,1,1,1,1,B2,B
1,1,1,RU,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,RU,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,RU,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,RU,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
middleLeft
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,R,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,R,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,RR,RR,RR,RR,RR,RR,RR,RR,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,RU,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,RU,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,RU,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
middleMiddle
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,RR,RR,RR,RR,RR,RR,RR,RR,1,R,1,1,1
1,1,1,RR,RR,RR,RR,RR,RR,RCR,RU,1,1,1,1,1
1,1,1,1,1,1,1,1,1,RU,RU,1,1,1,1,1
1,1,1,1,1,1,1,1,1,RU,RU,1,1,1,1,1
1,1,1,1,1,1,1,1,1,RU,1,1,1,1,1,1
1,1,1,1,1,1,R,1,1,RU,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
middleRight
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,R,1,1,B2,B
1,1,1,R,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,RR,RR,RR,RR,RR,RR,RR,RR,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,RU,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,RU,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,RU,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bottomLeft
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2
bottomMiddle
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,RR,RR,RR,RR,RR,RR,RR,RR,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,RU,1,1,R,1,1
1,1,1,1,1,1,1,1,1,1,RU,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,RU,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2
bottomRight
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,RR,RR,RR,RR,RR,RR,RR,RR,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,RU,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,RU,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,RU,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
1,1,1,1,1,1,1,1,1,1,1,1,1,1,B2,B
B,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2
